150274,2,10
150281,2,10
150283,0,10
150286,0,7
150287,0,10
150289,2,10
150290,0,10
150294,1,10
150295,1,9
150297,1,10
150300,1,10
150301,1,6
150302,1,10
150303,1,10
150304,1,10
150306,0,10
150307,1,10
150308,2,10
150309,1,10
150313,1,10
150315,2,10
150316,1,8
150319,0,10
150321,1,10
150322,0,10
150324,2,8
150325,1,10
150326,2,8
150327,0,8
150328,1,8
150329,2,10
150330,0,6
150331,1,8
150333,0,10
150335,2,10
150340,2,10
150343,1,9
150344,1,10
150345,1,10
150346,1,10
150347,1,9
150349,0,10
150352,2,10
150353,1,10
150355,2,10
150356,1,10
150360,1,10
150361,2,6
150364,1,6
150365,0,10
150366,2,9
150371,2,7
150372,1,10
150373,1,10
150376,2,7
150379,1,7
150380,1,8
150381,2,10
150383,2,10
150387,1,9
150390,0,10
150391,2,7
150392,2,9
150393,1,10
150394,0,10
150395,0,10
150397,0,9
150399,0,8
150404,0,8
150407,0,6
150408,2,10
150409,2,10
150410,2,10
150411,1,7
150412,1,9
150413,0,10
150414,1,10
150415,2,10
150416,1,7
150417,0,10
150419,2,10
150420,1,8
150424,0,9
150425,1,10
150426,0,10
150430,2,10
150431,2,8
150433,1,7
150434,0,10
150435,2,10
150436,0,10
150438,2,9
150439,1,8
150442,1,10
150444,0,7
150446,2,6
150449,1,10
150452,1,10
150456,1,10
150459,1,6
150460,1,10
150461,2,10
150462,1,10
150463,0,8
150470,1,7
150473,0,10
150475,1,10
150477,1,9
150479,1,7
150483,0,10
150490,1,10
150492,1,9
150493,2,10
150495,1,8
150497,0,10
150501,2,10
150504,2,10
150505,1,9
150506,0,10
150508,2,10
150509,1,8
150511,1,10
150512,0,10
150513,1,7
150514,1,6
150515,1,10
150517,2,10
150518,1,9
150519,1,10
150520,1,6
150521,1,9
150525,1,10
150527,1,10
150529,2,10
150530,1,9
150531,0,8
150532,1,10
150533,0,8
150535,2,10
150536,1,10
150537,1,10
150540,0,10
150542,2,9
150543,1,10
150544,1,10
150549,2,10
150552,2,7
150554,1,10
150555,2,10
150557,2,9
150558,0,8
150559,1,7
150561,1,6
150562,2,10
150563,2,10
150565,1,10
150566,1,10
150567,1,10
150569,1,10
150570,1,10
150572,2,10
150575,2,10
150576,1,10
150577,1,10
150579,1,10
150580,2,8
150584,2,10
150587,1,7
150590,0,10
150598,1,10
150599,1,10
150601,2,7
150604,0,10
150609,2,10
150612,1,10
150613,1,10
150614,1,8
150615,2,10
150616,1,8
150617,1,10
150619,1,10
150620,1,10
150622,0,6
150626,1,8
150630,0,10
150635,1,10
150636,2,6
150638,1,10
150643,1,10
150644,1,10
150648,0,10
150649,0,7
150650,1,7
150654,1,10
150655,2,10
150657,1,10
150658,1,10
150659,2,10
150661,2,10
150663,0,10
150665,0,7
150667,1,8
150669,2,10
150672,1,10
150673,0,6
150675,1,7
150676,1,10
150677,2,10
150678,2,6
150681,1,8
150682,1,9
150686,0,6
150687,2,8
150688,2,7
150689,2,10
150692,2,8
150694,1,10
150695,2,9
150696,1,10
150697,2,10
150701,1,10
150702,1,10
150705,0,8
150712,2,10
150713,1,10
150715,2,10
150716,1,10
150717,2,10
150718,1,9
150719,0,10
150722,0,10
150724,1,10
150728,0,10
150731,0,6
150733,0,10
150736,2,10
150739,0,6
150740,0,10
150742,1,10
150744,0,7
150746,0,10
150747,1,10
150749,1,10
150752,0,6
150757,1,10
150758,1,10
150760,0,10
150761,1,8
150762,2,10
150764,2,10
150767,2,10
150768,2,7
150771,2,10
150772,1,10
150773,2,10
150774,1,10
150776,0,9
150777,0,10
150778,0,10
150781,1,8
150782,0,6
150785,2,7
150791,1,10
150792,0,10
150794,0,10
150798,2,10
150799,1,7
150807,0,10
150809,0,10
150810,1,10
150814,1,10
150815,1,10
150816,0,10
150817,1,10
150820,2,10
150823,0,8
150824,2,8
150826,0,8
150829,1,10
150831,1,10
150833,0,10
150835,0,10
150836,0,10
150837,0,6
150838,0,10
150839,1,7
150842,0,10
150843,0,9
150844,0,10
150845,1,10
150848,2,9
150850,1,10
150851,2,10
150853,2,10
150854,1,10
150855,2,7
150857,2,7
150858,0,10
150859,2,8
150861,1,10
150862,1,10
150864,0,10
150866,1,10
150868,1,9
150873,0,10
150876,1,10
150877,0,10
150878,1,10
150879,0,10
150883,0,10
150884,1,7
150885,2,10
150886,2,7
150888,2,10
150890,0,7
150892,1,10
150893,0,10
150895,2,9
150899,0,9
150901,0,10
150907,2,10
150908,1,10
150912,0,10
150917,0,10
150920,2,6
150922,1,9
150923,0,10
150925,2,9
150927,1,10
150928,1,10
150932,2,10
150933,2,10
150934,2,10
150935,2,7
150936,0,10
150937,1,9
150939,0,10
150943,0,10
150944,0,10
150947,1,10
150949,2,10
150950,2,10
150952,0,10
150953,1,10
150956,1,10
150957,2,10
150958,1,10
150963,2,10
150965,2,9
150967,1,10
150970,0,6
150971,0,10
150973,0,10
150974,1,6
150976,2,10
150978,0,10
150979,0,10
150980,0,6
150982,1,7
150984,1,10
150985,1,7
150986,1,10
150987,2,10
150989,0,10
150990,1,10
150993,1,10
150994,1,7
150995,2,10
150996,1,7
150997,1,10
150998,2,6
150999,2,8
151000,0,7
151005,0,10
151006,2,9
151007,2,8
151008,0,10
151010,2,10
151011,2,10
151012,0,10
151013,1,6
151015,1,10
151019,1,10
151020,2,10
151026,2,8
151027,0,9
151028,0,6
151029,2,10
151030,1,7
151032,2,10
151034,2,10
151035,0,6
151036,2,6
151038,2,10
151047,0,10
151048,1,10
151052,0,10
151054,0,7
151056,2,8
151057,0,10
151058,0,8
151060,0,10
151061,2,10
151062,1,10
151063,0,10
151065,1,10
151066,0,10
151068,0,7
151069,0,6
151071,0,10
151073,0,7
151077,1,10
151079,2,10
151080,0,6
151081,2,10
151082,0,7
151083,1,10
151085,1,10
151086,2,10
151087,0,6
151088,0,10
151089,2,9
151093,2,10
151096,0,6
151097,1,10
151099,0,10
151101,0,10
151106,0,6
151109,0,10
151110,1,10
151112,1,8
151113,0,10
151116,1,10
151117,0,8
151122,1,10
151123,0,10
151127,2,10
151128,2,10
151131,2,10
151136,1,6
151141,2,10
151144,1,10
151145,2,10
151147,1,10
151148,2,10
151150,0,6
151154,1,7
151155,1,10
151157,0,6
151159,1,7
151161,2,10
151162,2,10
151163,2,6
151165,2,10
151168,0,7
151169,1,7
151170,1,10
151171,2,10
151172,2,9
151175,2,10
151179,1,10
151182,2,10
151183,2,10
151186,2,7
151187,1,8
151191,2,6
151193,0,10
151194,2,10
151195,0,10
151196,1,10
151197,0,10
151198,1,10
151205,1,10
151206,1,10
151207,2,8
151208,2,10
151209,2,10
151210,0,10
151212,1,10
151214,0,6
151215,1,6
151216,0,10
151218,0,10
151223,1,9
151224,2,10
151225,2,10
151226,1,10
151227,1,10
151228,2,10
151231,2,10
151234,2,10
151235,2,9
151237,2,10
151238,1,10
151240,2,10
151244,1,10
151248,2,10
151249,2,10
151250,1,10
151253,0,10
151254,1,10
151255,0,10
151258,1,8
151261,1,10
151266,1,10
151267,1,10
151268,2,10
151270,2,10
151271,2,7
151272,2,10
151273,1,10
151274,0,8
151275,0,8
151276,1,8
151277,1,10
151278,0,10
151279,1,7
151280,0,6
151281,1,10
151282,1,10
151283,2,6
151284,2,10
151285,1,6
151287,1,10
151288,0,10
151289,0,10
151291,2,10
151297,2,10
151298,0,10
151302,1,10
151304,0,10
151305,0,10
151307,2,10
151308,2,10
151309,1,10
151310,1,9
151312,2,10
151313,2,10
151314,2,10
151315,1,8
151316,2,10
151318,2,10
151321,1,10
151322,1,10
151323,2,10
151325,1,10
151326,2,10
151330,0,10
151334,2,10
151337,2,6
151340,1,6
151343,2,8
151347,2,10
151351,2,10
151353,1,10
151355,2,10
151357,0,10
151358,2,10
151359,1,10
151362,0,10
151364,0,6
151365,2,7
151368,0,10
151369,0,10
151370,0,10
151371,1,6
151375,0,8
151376,1,8
151377,1,10
151379,0,10
151382,1,10
151383,1,10
151384,1,9
151387,1,9
151389,1,10
151390,1,10
151391,1,7
151392,2,10
151393,0,6
151394,1,10
151395,1,10
151396,1,10
151397,1,10
151400,0,10
151402,2,7
151404,1,10
151406,2,10
151408,0,10
151415,0,10
151416,1,7
151419,0,10
151420,1,8
151422,1,10
151424,2,6
151425,1,9
151426,2,10
151427,2,9
151432,1,8
151433,1,10
151435,2,10
151436,2,10
151438,2,10
151441,0,10
151445,1,10
151446,0,10
151451,0,10
151452,2,10
151453,1,10
151454,0,10
